Testing...
******************************************
Name,	TestRuns,	Thread #,	Demensions,	 AverageTime,
Vector2D,	10,	2,	1000,	0.001027, 
Vector2D,	10,	2,	5000,	0.017753, 
Vector2D,	10,	2,	10000,	0.064169, 
Vector2D,	10,	4,	1000,	0.002133, 
Vector2D,	10,	4,	5000,	0.014492, 
Vector2D,	10,	4,	10000,	0.051245, 
Vector2D,	10,	8,	1000,	0.003017, 
Vector2D,	10,	8,	5000,	0.018841, 
Vector2D,	10,	8,	10000,	0.058462, 
Vector2D,	10,	16,	1000,	0.004422, 
Vector2D,	10,	16,	5000,	0.021080, 
Vector2D,	10,	16,	10000,	0.071031, 
Vector2D,	10,	32,	1000,	0.045765, 
Vector2D,	10,	32,	5000,	0.254542, 
Vector2D,	10,	32,	10000,	0.491216, 
Vector2D,	10,	60,	1000,	0.059489, 
Vector2D,	10,	60,	5000,	0.328285, 
Vector2D,	10,	60,	10000,	0.653469, 
